sentence,word,tag
1,CERTIFICATE,O
1,OF,O
1,INCORPORATION,O
1,OF,O
1,A,O
1,PRIVATE,B-TYPE
1,LIMITED,I-TYPE
1,COMPANY,I-TYPE
1,Company,O
1,Number,O
1,47110,B-NUM
1,The,O
1,Registrar,O
1,of,O
1,Companies,O
1,for,O
1,England,O
1,and,O
1,Wales,O
1,",",O
1,hereby,O
1,centifies,O
1,that,O
1,29,B-ORG
1,BLACK,I-ORG
1,LTD,I-ORG
1,is,O
1,this,O
1,day,O
1,incorporated,O
1,under,O
1,the,O
1,Companies,O
1,Act,O
1,2006,O
1,as,O
1,a,O
1,private,O
1,company,O
1,", ",O
1,that,O
1,the,O
1,company,O
1,is,O
1,limited,O
1,by,O
1, shares,O
1,", ",O
1,and,O
1,the,O
1,situation,O
1,of,O
1,its,O
1,registered,O
1,office,O
1,is,O
1,in,O
1,England,O
1,and,O
1,Wales,O
1,.,O
1,Given,O
1,at,O
1,Companies,O
1,House,O
1,", ",O
1,Cardiff,O
1,", ",O
1,on,O
1,16th,B-DATE
1,May,I-DATE
1,2016,I-DATE
1,The,O
1,above,O
1,information,O
1,wav,O
1,communicated,O
1,by,O
1,electnvnic,O
1,means,O
1,and,O
1,authenticated,O
1,by,O
1,the,O
1,Hegistrar,O
1,of,O
1,Companies,O
1,under,O
1,section,O
1,1115,O
1,of,O
1,the,O
1,Companies,O
1,Act,O
1,2006,O
1,AND,O
1,Companies,O
1,House,O
1,THE,O
1,OFFICIAL,O
1,SEAL,O
1,OF,O
1,THE,O
1,REGISTRAR,O
1,OF,O
1,COMPANIES,O
2,CERTIFICATE,O
2,OF,O
2,INCORPORATION,O
2,OF,O
2,A,O
2,PRIVATE,B-TYPE
2,LIMITED,I-TYPE
2,COMPANY,I-TYPE
2,Company,O
2,Number,O
2,55900,B-NUM
2,The,O
2,Registrar,O
2,of,O
2,Companies,O
2,for,O
2,England,O
2,and,O
2,Wales,O
2,",",O
2,hereby,O
2,centifies,O
2,that,O
2,4/4A,B-ORG
2,RECREATION,I-ORG
2,ROAD,I-ORG
2,MANAGEMENT,I-ORG
2,COMPANY,I-ORG
2,LIMITED,I-ORG
2,is,O
2,this,O
2,day,O
2,incorporated,O
2,under,O
2,the,O
2,Companies,O
2,Act,O
2,2006,O
2,as,O
2,a,O
2,private,O
2,company,O
2,", ",O
2,that,O
2,the,O
2,company,O
2,is,O
2,limited,O
2,by,O
2, shares,O
2,", ",O
2,and,O
2,the,O
2,situation,O
2,of,O
2,its,O
2,registered,O
2,office,O
2,is,O
2,in,O
2,England,O
2,and,O
2,Wales,O
2,.,O
2,Given,O
2,at,O
2,Companies,O
2,House,O
2,", ",O
2,Cardiff,O
2,", ",O
2,on,O
2,3rd,B-DATE
2,January,I-DATE
2,2013,I-DATE
2,The,O
2,above,O
2,information,O
2,wav,O
2,communicated,O
2,by,O
2,electnvnic,O
2,means,O
2,and,O
2,authenticated,O
2,by,O
2,the,O
2,Hegistrar,O
2,of,O
2,Companies,O
2,under,O
2,section,O
2,1115,O
2,of,O
2,the,O
2,Companies,O
2,Act,O
2,2006,O
2,AND,O
2,Companies,O
2,House,O
2,THE,O
2,OFFICIAL,O
2,SEAL,O
2,OF,O
2,THE,O
2,REGISTRAR,O
2,OF,O
2,COMPANIES,O
